x,y,prim,raw
0,179,LUT,SLICE_X0Y179
2,179,LUT,SLICE_X2Y179
3,179,LUT,SLICE_X3Y179
6,179,LUT,SLICE_X6Y179
7,179,LUT,SLICE_X7Y179
8,179,LUT,SLICE_X8Y179
10,179,LUT,SLICE_X10Y179
11,179,LUT,SLICE_X11Y179
12,179,LUT,SLICE_X12Y179
13,179,LUT,SLICE_X13Y179
15,179,LUT,SLICE_X15Y179
17,179,LUT,SLICE_X17Y179
18,179,LUT,SLICE_X18Y179
21,179,LUT,SLICE_X21Y179
22,179,LUT,SLICE_X22Y179
23,179,LUT,SLICE_X23Y179
25,179,LUT,SLICE_X25Y179
26,179,LUT,SLICE_X26Y179
27,179,LUT,SLICE_X27Y179
30,179,LUT,SLICE_X30Y179
32,179,LUT,SLICE_X32Y179
33,179,LUT,SLICE_X33Y179
35,179,LUT,SLICE_X35Y179
36,179,LUT,SLICE_X36Y179
38,179,LUT,SLICE_X38Y179
41,179,LUT,SLICE_X41Y179
44,179,LUT,SLICE_X44Y179
46,179,LUT,SLICE_X46Y179
47,179,LUT,SLICE_X47Y179
0,178,LUT,SLICE_X0Y178
2,178,LUT,SLICE_X2Y178
3,178,LUT,SLICE_X3Y178
6,178,LUT,SLICE_X6Y178
7,178,LUT,SLICE_X7Y178
8,178,LUT,SLICE_X8Y178
10,178,LUT,SLICE_X10Y178
11,178,LUT,SLICE_X11Y178
12,178,LUT,SLICE_X12Y178
13,178,LUT,SLICE_X13Y178
15,178,LUT,SLICE_X15Y178
17,178,LUT,SLICE_X17Y178
18,178,LUT,SLICE_X18Y178
21,178,LUT,SLICE_X21Y178
22,178,LUT,SLICE_X22Y178
23,178,LUT,SLICE_X23Y178
25,178,LUT,SLICE_X25Y178
26,178,LUT,SLICE_X26Y178
27,178,LUT,SLICE_X27Y178
30,178,LUT,SLICE_X30Y178
32,178,LUT,SLICE_X32Y178
33,178,LUT,SLICE_X33Y178
35,178,LUT,SLICE_X35Y178
36,178,LUT,SLICE_X36Y178
38,178,LUT,SLICE_X38Y178
41,178,LUT,SLICE_X41Y178
44,178,LUT,SLICE_X44Y178
46,178,LUT,SLICE_X46Y178
47,178,LUT,SLICE_X47Y178
0,177,LUT,SLICE_X0Y177
2,177,LUT,SLICE_X2Y177
3,177,LUT,SLICE_X3Y177
6,177,LUT,SLICE_X6Y177
7,177,LUT,SLICE_X7Y177
8,177,LUT,SLICE_X8Y177
10,177,LUT,SLICE_X10Y177
11,177,LUT,SLICE_X11Y177
12,177,LUT,SLICE_X12Y177
13,177,LUT,SLICE_X13Y177
15,177,LUT,SLICE_X15Y177
17,177,LUT,SLICE_X17Y177
18,177,LUT,SLICE_X18Y177
21,177,LUT,SLICE_X21Y177
22,177,LUT,SLICE_X22Y177
23,177,LUT,SLICE_X23Y177
25,177,LUT,SLICE_X25Y177
26,177,LUT,SLICE_X26Y177
27,177,LUT,SLICE_X27Y177
30,177,LUT,SLICE_X30Y177
32,177,LUT,SLICE_X32Y177
33,177,LUT,SLICE_X33Y177
35,177,LUT,SLICE_X35Y177
36,177,LUT,SLICE_X36Y177
38,177,LUT,SLICE_X38Y177
41,177,LUT,SLICE_X41Y177
44,177,LUT,SLICE_X44Y177
46,177,LUT,SLICE_X46Y177
47,177,LUT,SLICE_X47Y177
0,176,LUT,SLICE_X0Y176
2,176,LUT,SLICE_X2Y176
3,176,LUT,SLICE_X3Y176
6,176,LUT,SLICE_X6Y176
7,176,LUT,SLICE_X7Y176
8,176,LUT,SLICE_X8Y176
10,176,LUT,SLICE_X10Y176
11,176,LUT,SLICE_X11Y176
12,176,LUT,SLICE_X12Y176
13,176,LUT,SLICE_X13Y176
15,176,LUT,SLICE_X15Y176
17,176,LUT,SLICE_X17Y176
18,176,LUT,SLICE_X18Y176
21,176,LUT,SLICE_X21Y176
22,176,LUT,SLICE_X22Y176
23,176,LUT,SLICE_X23Y176
25,176,LUT,SLICE_X25Y176
26,176,LUT,SLICE_X26Y176
27,176,LUT,SLICE_X27Y176
30,176,LUT,SLICE_X30Y176
32,176,LUT,SLICE_X32Y176
33,176,LUT,SLICE_X33Y176
35,176,LUT,SLICE_X35Y176
36,176,LUT,SLICE_X36Y176
38,176,LUT,SLICE_X38Y176
41,176,LUT,SLICE_X41Y176
44,176,LUT,SLICE_X44Y176
46,176,LUT,SLICE_X46Y176
47,176,LUT,SLICE_X47Y176
0,175,LUT,SLICE_X0Y175
2,175,LUT,SLICE_X2Y175
3,175,LUT,SLICE_X3Y175
6,175,LUT,SLICE_X6Y175
7,175,LUT,SLICE_X7Y175
8,175,LUT,SLICE_X8Y175
10,175,LUT,SLICE_X10Y175
11,175,LUT,SLICE_X11Y175
12,175,LUT,SLICE_X12Y175
13,175,LUT,SLICE_X13Y175
15,175,LUT,SLICE_X15Y175
17,175,LUT,SLICE_X17Y175
18,175,LUT,SLICE_X18Y175
21,175,LUT,SLICE_X21Y175
22,175,LUT,SLICE_X22Y175
23,175,LUT,SLICE_X23Y175
25,175,LUT,SLICE_X25Y175
26,175,LUT,SLICE_X26Y175
27,175,LUT,SLICE_X27Y175
30,175,LUT,SLICE_X30Y175
32,175,LUT,SLICE_X32Y175
33,175,LUT,SLICE_X33Y175
35,175,LUT,SLICE_X35Y175
36,175,LUT,SLICE_X36Y175
38,175,LUT,SLICE_X38Y175
